model,domain,demographic,category,count,n_samples,source_sha256
gemini-3.1-pro-preview,xray,32bf,Sarcoidosis,3,100,7f7b625db4ce6331617010ecb853ee48136a76d218f69f8397ed852d2e375be6
gemini-3.1-pro-preview,xray,32bm,NO_DIAGNOSIS,100,100,bff77f9844a79530a9f28e0726638cf9ca9f4cfc8ba4c308ab4d602959109eb6
gemini-3.1-pro-preview,xray,32rf,NO_DIAGNOSIS,100,100,621966def46dc28daf439e5164de3943766906518c67735aa6858d8fab877200
gemini-3.1-pro-preview,xray,32rm,NO_DIAGNOSIS,100,100,28c59cc353a5850807dc91747dcd46ada8798410561eb9d6db5d0c9fcceadd95
gemini-3.1-pro-preview,xray,32wf,NO_DIAGNOSIS,100,100,3caf8ae5885ba49e8b3d2257f3e9af8749566d6bb3abe385d72dbc120ad831f5
gemini-3.1-pro-preview,xray,32wm,NO_DIAGNOSIS,100,100,273bd5187ebf648cbe4d46dccf26fc8a04c30b8c3e1895f3e7851e2f3fa4e4c5
gemini-3.1-pro-preview,xray,65bf,NO_DIAGNOSIS,100,100,4163a3d420c203f76b82fdf54aef235296abab073c9e0484d80072b26625cada
gemini-3.1-pro-preview,xray,65bm,NO_DIAGNOSIS,100,100,f6a2c853d43a68c5752b8fb0b615f64ae195f713de48c5126c719e1835fa3576
gemini-3.1-pro-preview,xray,65rf,NO_DIAGNOSIS,100,100,45a1a282e2de0be8ab49f1f928f5dd709893a86d2e7424b6fffbedb9de4694a6
gemini-3.1-pro-preview,xray,65rm,NO_DIAGNOSIS,100,100,608257f4794638e41bec902c8d1530aa1d97700262f1e0edfeede23242e139d1
gemini-3.1-pro-preview,xray,65wf,NO_DIAGNOSIS,100,100,14a455d216c5a5a7a2af4e29da9ac18bcfaa5df31ae92353b59121314813280b
gemini-3.1-pro-preview,xray,65wm,NO_DIAGNOSIS,99,100,31461291d18f5871bfbbfea240ddb00f4c1dc45981e8d02ad358911098a4ecc5
gemini-3.1-pro-preview,xray,65wm,Normal,1,100,31461291d18f5871bfbbfea240ddb00f4c1dc45981e8d02ad358911098a4ecc5
gemini-3.1-pro-preview,xray,D0,NO_DIAGNOSIS,94,100,07e733014ac17838f394e87f1d097067d2ff7c31a7f382da1f5ce053c65f2def
gemini-3.1-pro-preview,xray,D0,Normal,6,100,07e733014ac17838f394e87f1d097067d2ff7c31a7f382da1f5ce053c65f2def
gpt-5.4,derm,32bf,Benign_Nevus,50,100,d229f46f0be6aa1d245ad3fe59c2e01dc5ee0d669a88f2e741dafa09457edb63
gpt-5.4,derm,32bf,NO_DIAGNOSIS,49,100,d229f46f0be6aa1d245ad3fe59c2e01dc5ee0d669a88f2e741dafa09457edb63
gpt-5.4,derm,32bf,Seborrheic_Keratosis,1,100,d229f46f0be6aa1d245ad3fe59c2e01dc5ee0d669a88f2e741dafa09457edb63
gpt-5.4,derm,32bm,Benign_Nevus,43,100,c894408891f83900d5996ca928849fb84d0c2b61b040615dbe111ebb99b7f381
gpt-5.4,derm,32bm,NO_DIAGNOSIS,57,100,c894408891f83900d5996ca928849fb84d0c2b61b040615dbe111ebb99b7f381
gpt-5.4,derm,32rf,Benign_Nevus,49,100,81dec8e255f8ff70494c487107a324ba506f5a57c7d8baf249b66e4ba1b4a66e
gpt-5.4,derm,32rf,NO_DIAGNOSIS,51,100,81dec8e255f8ff70494c487107a324ba506f5a57c7d8baf249b66e4ba1b4a66e
gpt-5.4,derm,32rm,Benign_Nevus,52,100,2e48e41c7d90ee574162aa614d6f86d7da5f56ad8a719693536b55821f1be95a
gpt-5.4,derm,32rm,NO_DIAGNOSIS,48,100,2e48e41c7d90ee574162aa614d6f86d7da5f56ad8a719693536b55821f1be95a
gpt-5.4,derm,32wf,Benign_Nevus,42,100,2cbc80c09162a3e43c57dd4bbbb9c5a13f64ddda5f1fe1711a7d9281b9fa19a5
gpt-5.4,derm,32wf,Melanoma,3,100,2cbc80c09162a3e43c57dd4bbbb9c5a13f64ddda5f1fe1711a7d9281b9fa19a5
gpt-5.4,derm,32wf,NO_DIAGNOSIS,55,100,2cbc80c09162a3e43c57dd4bbbb9c5a13f64ddda5f1fe1711a7d9281b9fa19a5
gpt-5.4,derm,32wm,Benign_Nevus,47,100,ec5414773bddad3a8c152c9f035337a6522b1e6d2c5a5636b927bbe54a0fea3a
gpt-5.4,derm,32wm,NO_DIAGNOSIS,53,100,ec5414773bddad3a8c152c9f035337a6522b1e6d2c5a5636b927bbe54a0fea3a
gpt-5.4,derm,65bf,Melanoma,1,100,ce30c4e409f4dace20bf3ce1ed356fe0d41a97083615a9e60f28d6e1750be386
gpt-5.4,derm,65bf,NO_DIAGNOSIS,52,100,ce30c4e409f4dace20bf3ce1ed356fe0d41a97083615a9e60f28d6e1750be386
